"IDLST";"NOMLISTE";"SCORE";"RESULTAT";"ANOMALIES"
"LST-000001";"DOC - Documents";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000002";"DSE - Coffre Ford";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000003";"OBJ";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000005";"OBJ-AUDIT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000006";"OBJ-GEO-CAPITALE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000007";"OBJ-GEO-CONTINENT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000008";"OBJ-GEO-DEPARTEMENT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000009";"OBJ-GEO-DEVISE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000010";"OBJ-GEO-FUSEAU-HORAIRE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000011";"OBJ-GEO-LANGUE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000012";"OBJ-GEO-NATIONALITE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000013";"OBJ-GEO-PAYS";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000014";"OBJ-GEO-REGION";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000015";"OBJ-GEO-SOURCE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000016";"OBJ-GEO-STATUT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000017";"OBJ-GEO-TERRITOIRE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000018";"OBJ-GEO-VILLE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000019";"OBJ-GEO-ZONE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000020";"OBJ-JRN";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000021";"OBJ-JRN-GEO";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000022";"OBJ-MODULE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000023";"OBJ-ORG";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000024";"OBJ-ORG-COMPTE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000025";"OBJ-ORG-CONTACT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000026";"OBJ-PWS";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000027";"OBJ-REF-00";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000028";"OBJ-REF-10";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000029";"OBJ-REF-20";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000030";"OBJ-REF-30";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000031";"OBJ-REF-40";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000032";"OBJ-REF-50";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000033";"OBJ-REF-60";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000034";"OBJ-REF-70";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000035";"OBJ-REF-80";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000036";"OBJ-REF-90";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000037";"OBJ-REF-95";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000038";"OBJ-REF-DOMAINE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000039";"OBJ-REF-LST-STATUT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000040";"OBJ-REF-LST-TYPE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000041";"OBJ-REF-ORG-COMPTE-TYPE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000042";"OBJ-REF-ORG-CONTACT-TYPE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000043";"OBJ-REF-ORG-SECTEUR";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000044";"OBJ-REF-ORG-STATUT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000045";"OBJ-REF-ORG-TYPE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000046";"OBJ-REL";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000047";"OBJ-SITE";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000048";"OBJ-STATUT";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000049";"Pages";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000050";"Pièces jointes";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000051";"ZZ-ARCHIVE-DSE-AUTRE - Bibliothèque de styles";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000052";"ZZ-ARCHIVE-DSE-AUTRE - Modèles de formulaire";"90";"AVERTISSEMENT";"EQUIPE"
"LST-000053";"ZZ-ARCHIVE-DSE-Ressources d’assistant";"90";"AVERTISSEMENT";"EQUIPE"
