"IDLST";"NOMLISTE";"SCORE";"RESULTAT";"ANOMALIES"
"LST-000001";"DOC - Documents";"100";"CONFORME";""
"LST-000002";"DSE - Coffre Ford";"100";"CONFORME";""
"LST-000003";"OBJ";"100";"CONFORME";""
"LST-000005";"OBJ-AUDIT";"100";"CONFORME";""
"LST-000006";"OBJ-GEO-CAPITALE";"100";"CONFORME";""
"LST-000007";"OBJ-GEO-CONTINENT";"100";"CONFORME";""
"LST-000008";"OBJ-GEO-DEPARTEMENT";"100";"CONFORME";""
"LST-000009";"OBJ-GEO-DEVISE";"100";"CONFORME";""
"LST-000010";"OBJ-GEO-FUSEAU-HORAIRE";"100";"CONFORME";""
"LST-000011";"OBJ-GEO-LANGUE";"100";"CONFORME";""
"LST-000012";"OBJ-GEO-NATIONALITE";"100";"CONFORME";""
"LST-000013";"OBJ-GEO-PAYS";"100";"CONFORME";""
"LST-000014";"OBJ-GEO-REGION";"100";"CONFORME";""
"LST-000015";"OBJ-GEO-SOURCE";"100";"CONFORME";""
"LST-000016";"OBJ-GEO-STATUT";"100";"CONFORME";""
"LST-000017";"OBJ-GEO-TERRITOIRE";"100";"CONFORME";""
"LST-000018";"OBJ-GEO-VILLE";"100";"CONFORME";""
"LST-000019";"OBJ-GEO-ZONE";"100";"CONFORME";""
"LST-000020";"OBJ-JRN";"100";"CONFORME";""
"LST-000021";"OBJ-JRN-GEO";"100";"CONFORME";""
"LST-000022";"OBJ-MODULE";"100";"CONFORME";""
"LST-000023";"OBJ-ORG";"100";"CONFORME";""
"LST-000024";"OBJ-ORG-COMPTE";"100";"CONFORME";""
"LST-000025";"OBJ-ORG-CONTACT";"100";"CONFORME";""
"LST-000026";"OBJ-PWS";"100";"CONFORME";""
"LST-000027";"OBJ-REF-00";"100";"CONFORME";""
"LST-000028";"OBJ-REF-10";"100";"CONFORME";""
"LST-000029";"OBJ-REF-20";"100";"CONFORME";""
"LST-000030";"OBJ-REF-30";"100";"CONFORME";""
"LST-000031";"OBJ-REF-40";"100";"CONFORME";""
"LST-000032";"OBJ-REF-50";"100";"CONFORME";""
"LST-000033";"OBJ-REF-60";"100";"CONFORME";""
"LST-000034";"OBJ-REF-70";"100";"CONFORME";""
"LST-000035";"OBJ-REF-80";"100";"CONFORME";""
"LST-000036";"OBJ-REF-90";"100";"CONFORME";""
"LST-000037";"OBJ-REF-95";"100";"CONFORME";""
"LST-000038";"OBJ-REF-DOMAINE";"100";"CONFORME";""
"LST-000039";"OBJ-REF-LST-STATUT";"100";"CONFORME";""
"LST-000040";"OBJ-REF-LST-TYPE";"100";"CONFORME";""
"LST-000041";"OBJ-REF-ORG-COMPTE-TYPE";"100";"CONFORME";""
"LST-000042";"OBJ-REF-ORG-CONTACT-TYPE";"100";"CONFORME";""
"LST-000043";"OBJ-REF-ORG-SECTEUR";"100";"CONFORME";""
"LST-000044";"OBJ-REF-ORG-STATUT";"100";"CONFORME";""
"LST-000045";"OBJ-REF-ORG-TYPE";"100";"CONFORME";""
"LST-000046";"OBJ-REL";"100";"CONFORME";""
"LST-000047";"OBJ-SITE";"100";"CONFORME";""
"LST-000048";"OBJ-STATUT";"100";"CONFORME";""
"LST-000049";"Pages";"100";"CONFORME";""
"LST-000050";"Pièces jointes";"100";"CONFORME";""
"LST-000051";"ZZ-ARCHIVE-DSE-AUTRE - Bibliothèque de styles";"100";"CONFORME";""
"LST-000052";"ZZ-ARCHIVE-DSE-AUTRE - Modèles de formulaire";"100";"CONFORME";""
"LST-000053";"ZZ-ARCHIVE-DSE-Ressources d’assistant";"100";"CONFORME";""
