"id";"Title";"IDGeoStatut";"CodeStatut";"TypeStatut";"DescriptionStatut";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"État souverain";"ID-GEO-STA-000001";"ETAT-SOUVERAIN";"SOUVERAIN";"État indépendant disposant d’une souveraineté reconnue.";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:16";"09/10/2026 20:12:16";"UserId:11";"UserId:11"
"2";"Territoire dépendant";"ID-GEO-STA-000002";"TERRITOIRE-DEPENDANT";"DEPENDANCE";"Territoire placé sous la responsabilité ou l’administration d’un autre État.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:17";"09/10/2026 20:12:17";"UserId:11";"UserId:11"
"3";"Territoire d’outre-mer";"ID-GEO-STA-000003";"TERRITOIRE-OUTRE-MER";"OUTRE-MER";"Territoire géographiquement éloigné de l’État auquel il est rattaché.";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"UserId:11";"UserId:11"
"4";"Collectivité territoriale";"ID-GEO-STA-000004";"COLLECTIVITE";"COLLECTIVITE";"Entité territoriale disposant d’une organisation administrative propre.";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"UserId:11";"UserId:11"
"5";"Région administrative";"ID-GEO-STA-000005";"REGION-ADMINISTRATIVE";"ADMINISTRATIF";"Division administrative de premier ou de second niveau.";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:19";"09/10/2026 20:12:19";"UserId:11";"UserId:11"
"6";"Département";"ID-GEO-STA-000006";"DEPARTEMENT";"ADMINISTRATIF";"Division administrative rattachée à une région et à un pays.";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:20";"09/10/2026 20:12:20";"UserId:11";"UserId:11"
"7";"Province";"ID-GEO-STA-000007";"PROVINCE";"ADMINISTRATIF";"Division territoriale ou administrative appelée province.";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:21";"09/10/2026 20:12:21";"UserId:11";"UserId:11"
"8";"État fédéré";"ID-GEO-STA-000008";"ETAT-FEDERE";"FEDERAL";"Entité politique membre d’un État fédéral.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:22";"09/10/2026 20:12:22";"UserId:11";"UserId:11"
"9";"Territoire autonome";"ID-GEO-STA-000009";"TERRITOIRE-AUTONOME";"AUTONOME";"Territoire bénéficiant d’un régime d’autonomie particulier.";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:22";"09/10/2026 20:12:22";"UserId:11";"UserId:11"
"10";"Région autonome";"ID-GEO-STA-000010";"REGION-AUTONOME";"AUTONOME";"Région disposant de compétences autonomes définies juridiquement.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:23";"09/10/2026 20:12:23";"UserId:11";"UserId:11"
"11";"Zone spéciale";"ID-GEO-STA-000011";"ZONE-SPECIALE";"SPECIAL";"Zone géographique soumise à un statut ou à un régime particulier.";"Oui";"110";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:24";"09/10/2026 20:12:24";"UserId:11";"UserId:11"
"12";"Zone internationale";"ID-GEO-STA-000012";"ZONE-INTERNATIONALE";"INTERNATIONAL";"Zone relevant d’un régime ou d’une gestion internationale.";"Oui";"120";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:24";"09/10/2026 20:12:24";"UserId:11";"UserId:11"
"13";"Territoire contesté";"ID-GEO-STA-000013";"TERRITOIRE-CONTESTE";"CONTESTE";"Territoire dont la souveraineté ou le rattachement fait l’objet d’une contestation.";"Oui";"130";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:25";"09/10/2026 20:12:25";"UserId:11";"UserId:11"
"14";"Territoire non autonome";"ID-GEO-STA-000014";"TERRITOIRE-NON-AUTONOME";"NON-AUTONOME";"Territoire ne disposant pas d’une autonomie politique complète.";"Oui";"140";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:26";"09/10/2026 20:12:26";"UserId:11";"UserId:11"
"15";"Territoire inhabité";"ID-GEO-STA-000015";"TERRITOIRE-INHABITE";"INHABITE";"Territoire ne comportant pas de population permanente.";"Oui";"150";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:27";"09/10/2026 20:12:27";"UserId:11";"UserId:11"
"16";"Zone maritime";"ID-GEO-STA-000016";"ZONE-MARITIME";"MARITIME";"Zone géographique principalement maritime ou océanique.";"Oui";"160";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:27";"09/10/2026 20:12:27";"UserId:11";"UserId:11"
"17";"Commune";"ID-GEO-STA-000017";"COMMUNE";"ADMINISTRATIF";"Collectivité ou division administrative locale correspondant à une commune.";"Oui";"170";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:28";"09/10/2026 20:12:28";"UserId:11";"UserId:11"
"18";"Commune associée";"ID-GEO-STA-000018";"COMMUNE-ASSOCIEE";"ADMINISTRATIF";"Ancienne commune ou entité locale associée à une autre commune.";"Oui";"180";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:29";"09/10/2026 20:12:29";"UserId:11";"UserId:11"
"19";"Commune déléguée";"ID-GEO-STA-000019";"COMMUNE-DELEGUEE";"ADMINISTRATIF";"Commune conservant une représentation locale au sein d’une commune nouvelle.";"Oui";"190";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:30";"09/10/2026 20:12:30";"UserId:11";"UserId:11"
"20";"Ancienne entité";"ID-GEO-STA-000020";"ANCIENNE-ENTITE";"HISTORIQUE";"Entité géographique ou administrative qui n’est plus active mais reste conservée pour l’historique.";"Oui";"200";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:30";"09/10/2026 20:12:30";"UserId:11";"UserId:11"
"21";"À contrôler";"ID-GEO-STA-000021";"A-CONTROLER";"CONTROLE";"Statut temporaire attribué lorsqu’une qualification géographique doit être vérifiée.";"Oui";"900";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:33";"09/10/2026 20:12:33";"UserId:11";"UserId:11"
"22";"Non déterminé";"ID-GEO-STA-000022";"NON-DETERMINE";"INCONNU";"Statut utilisé lorsqu’aucune qualification fiable n’est encore disponible.";"Oui";"990";"Non";"Non";"Non";"Non";"Import GEO-STATUTS.csv sans lookup; Operation IMPORT-GEO-STATUTS-SANS-LOOKUP-20260910-221204";"";"09/10/2026 20:12:33";"09/10/2026 20:12:33";"UserId:11";"UserId:11"
