"id";"Title";"CODE";"NOTECOURTE";"NOTELONGUE";"SOURCEORIGINE";"IDSOURCEORIGINE";"VALIDATIONMIGRATION";"ACTIF";"VERROUILLE";"ANOMALIEDETECTEE";"ORDREAFFICHAGE";"DATEDERNIERCONTROLE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"COMPTE";"CPT";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"2";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:07";"09/17/2026 07:01:07";"";""
"2";"DOMAINE";"DOM";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"7";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:07";"09/17/2026 07:01:07";"";""
"3";"DOCUMENT";"DOC";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"8";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:08";"09/17/2026 07:01:08";"";""
"4";"PRODUIT";"PRD";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"10";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:09";"09/17/2026 07:01:09";"";""
"5";"MENU";"MEN";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"13";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:10";"09/17/2026 07:01:10";"";""
"6";"FONCTION";"FON";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"14";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:11";"09/17/2026 07:01:11";"";""
"7";"APPLICATION";"APP";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"17";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:11";"09/17/2026 07:01:11";"";""
"8";"RAPPORT";"REP";"ND";"ND";"OBJ-REF-00-TYPES-OBJETS";"18";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:12";"09/17/2026 07:01:12";"";""
"9";"Pays";"PAY";"Tous les pays du monde";"ND";"OBJ-REF-00-TYPES-OBJETS";"22";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:13";"09/17/2026 07:01:13";"";""
"10";"Contenu";"CNT";"ND";"ND";"OBJ-REF-01-FAMILLES-OBJETS";"3";"VALIDE-V1";"Oui";"Non";"Non";"";"";"ACTIF - OUI | VALIDER - EN ATTENTE";"09/17/2026 07:01:14";"09/17/2026 07:01:14";"";""
