"id";"Title";"IDGeoFuseau";"CodeFuseau";"UTC";"DecalageHeure";"DescriptionFuseau";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"Modified";"Created";"Author";"Editor"
"1";"UTC-12:00";"ID-GEO-FUS-000001";"UTCM1200";"UTC-12:00";"-12";"Fuseau horaire correspondant à un décalage de -12:00 par rapport au temps universel coordonné.";"Oui";"10";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:06";"09/10/2026 18:51:06";"";""
"2";"UTC-11:00";"ID-GEO-FUS-000002";"UTCM1100";"UTC-11:00";"-11";"Fuseau horaire correspondant à un décalage de -11:00 par rapport au temps universel coordonné.";"Oui";"20";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:07";"09/10/2026 18:51:07";"";""
"3";"UTC-10:00";"ID-GEO-FUS-000003";"UTCM1000";"UTC-10:00";"-10";"Fuseau horaire correspondant à un décalage de -10:00 par rapport au temps universel coordonné.";"Oui";"30";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:08";"09/10/2026 18:51:08";"";""
"4";"UTC-09:30";"ID-GEO-FUS-000004";"UTCM0930";"UTC-09:30";"-9.5";"Fuseau horaire correspondant à un décalage de -09:30 par rapport au temps universel coordonné.";"Oui";"40";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:08";"09/10/2026 18:51:08";"";""
"5";"UTC-09:00";"ID-GEO-FUS-000005";"UTCM0900";"UTC-09:00";"-9";"Fuseau horaire correspondant à un décalage de -09:00 par rapport au temps universel coordonné.";"Oui";"50";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:09";"09/10/2026 18:51:09";"";""
"6";"UTC-08:00";"ID-GEO-FUS-000006";"UTCM0800";"UTC-08:00";"-8";"Fuseau horaire correspondant à un décalage de -08:00 par rapport au temps universel coordonné.";"Oui";"60";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:10";"09/10/2026 18:51:10";"";""
"7";"UTC-07:00";"ID-GEO-FUS-000007";"UTCM0700";"UTC-07:00";"-7";"Fuseau horaire correspondant à un décalage de -07:00 par rapport au temps universel coordonné.";"Oui";"70";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:11";"09/10/2026 18:51:11";"";""
"8";"UTC-06:00";"ID-GEO-FUS-000008";"UTCM0600";"UTC-06:00";"-6";"Fuseau horaire correspondant à un décalage de -06:00 par rapport au temps universel coordonné.";"Oui";"80";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:11";"09/10/2026 18:51:11";"";""
"9";"UTC-05:00";"ID-GEO-FUS-000009";"UTCM0500";"UTC-05:00";"-5";"Fuseau horaire correspondant à un décalage de -05:00 par rapport au temps universel coordonné.";"Oui";"90";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:12";"09/10/2026 18:51:12";"";""
"10";"UTC-04:00";"ID-GEO-FUS-000010";"UTCM0400";"UTC-04:00";"-4";"Fuseau horaire correspondant à un décalage de -04:00 par rapport au temps universel coordonné.";"Oui";"100";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:13";"09/10/2026 18:51:13";"";""
"11";"UTC-03:30";"ID-GEO-FUS-000011";"UTCM0330";"UTC-03:30";"-3.5";"Fuseau horaire correspondant à un décalage de -03:30 par rapport au temps universel coordonné.";"Oui";"110";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:14";"09/10/2026 18:51:14";"";""
"12";"UTC-03:00";"ID-GEO-FUS-000012";"UTCM0300";"UTC-03:00";"-3";"Fuseau horaire correspondant à un décalage de -03:00 par rapport au temps universel coordonné.";"Oui";"120";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:14";"09/10/2026 18:51:14";"";""
"13";"UTC-02:00";"ID-GEO-FUS-000013";"UTCM0200";"UTC-02:00";"-2";"Fuseau horaire correspondant à un décalage de -02:00 par rapport au temps universel coordonné.";"Oui";"130";"Non";"Non";"Non";"Non";"Import GEO-FUSEAUX-HORAIRES.csv sans lookup; Operation IMPORT-GEO-FUSEAUX-HORAIRES-SANS-LOOKUP-V002-20260910-205054";"";"09/10/2026 18:51:15";"09/10/2026 18:51:15";"";""
