"id";"Title";"IDGeoCapitale";"CodeCapitale";"DescriptionCapitale";"Actif";"OrdreAffichage";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"NotesDSE";"OBJREF";"PaysGeo";"Modified";"Created";"Author";"Editor"
"1";"Andorre-la-Vieille";"ID-GEO-CAP-000001";"CAP-AD";"";"Oui";"10";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:17";"09/10/2026 08:50:17";"";""
"2";"Abou Dabi";"ID-GEO-CAP-000002";"CAP-AE";"";"Oui";"1";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:19";"09/10/2026 08:50:19";"";""
"3";"Kabul";"ID-GEO-CAP-000003";"CAP-AF";"";"Oui";"95";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:20";"09/10/2026 08:50:20";"";""
"4";"Saint John's";"ID-GEO-CAP-000004";"CAP-AG";"";"Oui";"198";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:22";"09/10/2026 08:50:22";"";""
"5";"The Valley";"ID-GEO-CAP-000005";"CAP-AI";"";"Oui";"227";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:24";"09/10/2026 08:50:24";"";""
"6";"Tirana";"ID-GEO-CAP-000006";"CAP-AL";"";"Oui";"229";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:24";"09/10/2026 08:50:24";"";""
"7";"Erevan";"ID-GEO-CAP-000007";"CAP-AM";"";"Oui";"71";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:26";"09/10/2026 08:50:26";"";""
"8";"Luanda";"ID-GEO-CAP-000008";"CAP-AO";"";"Oui";"119";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:27";"09/10/2026 08:50:27";"";""
"9";"ND - Antarctique";"ID-GEO-CAP-000009";"CAP-AQ";"";"Oui";"149";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:29";"09/10/2026 08:50:29";"";""
"10";"Buenos Aires";"ID-GEO-CAP-000010";"CAP-AR";"";"Oui";"44";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:31";"09/10/2026 08:50:31";"";""
"11";"Pago Pago";"ID-GEO-CAP-000011";"CAP-AS";"";"Oui";"167";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:32";"09/10/2026 08:50:32";"";""
"12";"Vienna";"ID-GEO-CAP-000012";"CAP-AT";"";"Oui";"238";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:33";"09/10/2026 08:50:33";"";""
"13";"Canberra";"ID-GEO-CAP-000013";"CAP-AU";"";"Oui";"46";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:35";"09/10/2026 08:50:35";"";""
"14";"Oranjestad";"ID-GEO-CAP-000014";"CAP-AW";"";"Oui";"162";"Non";"Non";"";"";"Import GEO-CAPITALES V1";"";"";"09/10/2026 08:50:36";"09/10/2026 08:50:36";"";""
